Name,Metric,Area(um^2),Power(uW),Delay(ns)
max_1-1-45,0.002735,2184.92,nan,8164.550000
max_1-1-46,0.002429,2120.82,nan,8231.150000
max_1-1-47,0.004875,2205.94,nan,8114.960000
max_1-1-48,0.002962,2132.26,nan,8120.870000
max_1-1-49,0.004550,2183.86,nan,6936.640000
max_1-1-50,0.002914,2192.37,nan,7005.530000
max_1-1-51,0.002691,2345.06,nan,6736.510000
max_1-1-52,0.004863,2135.98,nan,8137.450000
max_1-1-53,0.004810,2108.85,nan,8119.340000
max_1-1-54,0.002891,2112.84,nan,8095.550000
max_1-1-55,0.002876,2127.73,nan,8110.810000
max_1-1-56,0.003940,2193.17,nan,6705.090000
max_1-1-57,0.004764,2180.93,nan,6843.410000
max_1-1-58,0.005065,2139.70,nan,8146.870000
max_1-1-59,0.007650,2285.74,nan,6728.460000
max_1-1-60,0.005995,2240.78,nan,6747.240000
max_1-1-61,0.002937,2401.71,nan,7001.420000
max_1-1-62,0.001481,2330.16,nan,8163.830000
max_1-1-63,0.004784,2138.37,nan,8141.430000
max_1-1-64,0.004666,2135.45,nan,8136.320000
max_1-1-65,0.002993,2091.29,nan,8109.310000
max_1-1-66,0.003007,2135.71,nan,8146.470000
max_1-1-67,0.004835,2134.65,nan,8133.360000
max_1-1-68,0.002895,2139.70,nan,8149.700000
max_1-1-69,0.004825,2137.84,nan,8126.250000
max_1-1-70,0.002965,2181.47,nan,8147.740000
max_1-1-71,0.002971,2134.12,nan,8148.290000
max_1-1-72,0.002923,2180.67,nan,6834.410000
max_1-1-73,0.004428,2016.28,nan,6574.290000
max_1-1-74,0.002957,2189.98,nan,6844.460000
max_1-1-75,0.002732,2140.77,nan,8147.350000
max_1-1-76,0.004322,2407.30,nan,7713.870000
max_1-1-77,0.002803,2142.10,nan,8124.380000
max_1-1-78,0.002683,2141.57,nan,8139.650000
max_1-1-79,0.004885,2550.67,nan,6807.950000
max_1-1-80,0.002695,2254.35,nan,7051.230000
max_1-1-81,0.004951,2347.72,nan,6907.060000
max_1-1-82,0.002216,2191.04,nan,8083.530000
max_1-1-83,0.004775,2079.85,nan,8085.690000
max_1-1-84,0.002970,2071.87,nan,8129.570000
max_1-1-85,0.004865,2138.11,nan,8114.770000
max_1-1-86,0.002895,2249.83,nan,7637.390000
max_1-1-87,0.002908,2139.17,nan,8149.670000
max_1-1-88,0.002911,2316.59,nan,7941.920000
max_1-1-89,0.004615,2048.20,nan,7573.670000
max_1-1-90,0.002450,2334.68,nan,6756.820000
max_1-1-91,0.003819,2135.71,nan,8129.020000
max_1-1-92,0.004382,2092.36,nan,7587.350000
max_1-1-93,0.003906,2142.10,nan,8144.110000
max_1-1-94,0.002923,2234.40,nan,6948.530000
