Name,Metric,Area(um^2),Power(uW),Delay(ns)
adder_2-2-19,0.011720,835.51,nan,4356.410000
adder_2-2-20,0.007624,866.63,nan,4986.350000
adder_2-2-21,0.007605,866.63,nan,4943.040000
adder_2-2-22,0.007715,887.91,nan,5002.870000
adder_2-2-23,0.005824,957.60,nan,4992.290000
adder_2-2-24,0.005863,969.84,nan,4914.930000
adder_2-2-25,0.007884,881.79,nan,4948.030000
adder_2-2-26,0.005770,899.61,nan,4944.110000
adder_3-0-0,0.009412,866.10,nan,4849.210000
adder_3-0-1,0.009521,840.83,nan,4950.110000
adder_3-0-2,0.007768,863.97,nan,4978.800000
adder_3-0-3,0.009588,855.72,nan,4861.080000
adder_3-0-4,0.007733,891.90,nan,4999.090000
adder_3-0-5,0.013428,859.18,nan,5047.140000
adder_3-0-6,0.007712,886.84,nan,4922.460000
adder_3-0-7,0.007784,942.44,nan,4674.080000
adder_3-0-8,0.009584,885.78,nan,4891.940000
adder_3-0-9,0.009523,900.68,nan,4763.200000
adder_3-0-10,0.007671,892.70,nan,4801.680000
adder_3-0-11,0.007778,932.06,nan,4727.580000
adder_3-0-12,0.007706,923.82,nan,4736.280000
adder_3-0-13,0.007611,888.97,nan,4783.860000
adder_3-0-14,0.009462,831.25,nan,4892.070000
adder_3-0-15,0.007799,890.83,nan,4751.280000
adder_3-0-16,0.012352,818.75,nan,4823.120000
adder_3-0-17,0.009584,836.04,nan,4980.380000
adder_3-0-18,0.007802,881.52,nan,4820.350000
adder_3-0-19,0.013609,821.94,nan,4220.770000
adder_3-0-20,0.009512,878.60,nan,4743.860000
adder_3-0-21,0.009490,891.10,nan,4947.690000
adder_3-0-22,0.007734,886.05,nan,4932.530000
adder_3-0-23,0.007717,938.98,nan,4832.050000
adder_3-0-24,0.007747,913.71,nan,4889.160000
adder_3-0-25,0.009773,866.36,nan,4831.340000
adder_3-0-26,0.007658,939.51,nan,4723.940000
adder_3-0-27,0.007615,868.49,nan,4834.570000
adder_3-1-0,0.007568,931.53,nan,4790.630000
adder_3-1-1,0.009523,903.87,nan,4762.540000
adder_3-1-2,0.007705,934.19,nan,4770.690000
adder_3-1-3,0.009528,897.75,nan,4768.020000
adder_3-1-4,0.007702,929.40,nan,4783.540000
adder_3-1-5,0.007700,881.26,nan,4891.980000
adder_3-1-6,0.007651,926.48,nan,4831.640000
adder_3-1-7,0.007720,964.52,nan,4773.410000
adder_3-1-8,0.009521,867.43,nan,5015.840000
adder_3-1-9,0.009460,922.49,nan,4711.470000
adder_3-1-10,0.007607,937.92,nan,4813.480000
adder_3-1-11,0.007714,942.70,nan,4743.410000
adder_3-1-12,0.007612,940.84,nan,4754.200000
adder_3-1-13,0.007547,933.13,nan,4781.010000
adder_3-1-14,0.009398,848.01,nan,5044.410000
adder_3-1-15,0.007736,875.14,nan,5017.600000
adder_3-1-16,0.012288,833.64,nan,4978.110000
adder_3-1-17,0.009520,841.62,nan,5098.780000
adder_3-1-18,0.007738,950.95,nan,4863.920000
adder_3-1-19,0.013545,829.65,nan,4323.490000
adder_3-1-20,0.009427,927.81,nan,4931.090000
adder_3-1-21,0.009426,892.43,nan,4863.120000
adder_3-1-22,0.007666,929.94,nan,4909.990000
adder_3-1-23,0.009605,853.06,nan,5025.780000
adder_3-1-24,0.007689,916.37,nan,4961.400000
adder_3-1-25,0.009717,869.82,nan,4971.990000
adder_3-1-26,0.007597,867.96,nan,4996.990000
adder_3-1-27,0.009492,909.72,nan,4864.920000
adder_3-2-0,0.009326,890.83,nan,4751.200000
adder_3-2-1,0.009436,890.04,nan,4720.260000
adder_3-2-2,0.007683,905.20,nan,4764.900000
adder_3-2-3,0.009503,873.01,nan,4820.590000
adder_3-2-4,0.007647,900.41,nan,4968.960000
adder_3-2-5,0.013343,962.65,nan,4759.060000
adder_3-2-6,0.007627,893.49,nan,4848.470000
adder_3-2-7,0.007698,924.35,nan,4765.510000
adder_3-2-8,0.009499,919.03,nan,4808.280000
adder_3-2-9,0.009436,857.05,nan,4825.650000
adder_3-2-10,0.007588,912.91,nan,4827.030000
adder_3-2-11,0.007695,899.88,nan,4895.050000
adder_3-2-12,0.007622,856.79,nan,4865.590000
adder_3-2-13,0.009616,868.76,nan,4847.220000
adder_3-2-14,0.007707,993.51,nan,4467.360000
adder_3-2-15,0.012274,866.10,nan,4677.360000
adder_3-2-16,0.009499,856.25,nan,4881.690000
adder_3-2-17,0.007716,903.60,nan,4720.400000
adder_3-2-18,0.013526,937.65,nan,3824.420000
adder_3-2-19,0.009427,929.40,nan,4567.090000
adder_3-2-20,0.009405,891.90,nan,4892.600000
adder_3-2-21,0.007649,951.48,nan,4726.490000
adder_3-2-22,0.007632,1015.85,nan,4509.460000
adder_3-2-23,0.007662,889.50,nan,4814.830000
adder_3-2-24,0.009688,932.60,nan,4602.250000
adder_3-2-25,0.007573,928.07,nan,4704.450000
adder_3-2-26,0.007529,944.57,nan,4672.520000
